price,address,property_type,bedrooms,bathrooms,size_square_meters,latitude,longitude,borough,Price_per_square_meter
1750000.0,"Woodstock Road, Golders Green,  NW11",Semi-Detached,5.0,3.0,218.0,51.5715932,-0.1983832,Barnet,8027.522935779816
1750000.0,"Rotherwick Road,, Hampstead Garden Suburb, London, NW11",Semi-Detached,5.0,3.0,234.0,51.5741202,-0.1932932,Barnet,7478.6324786324785
1750000.0,"Finchley Road, Childs Hill, NW2",House,3.0,2.0,164.0,51.5611929,-0.1971281,Barnet,10670.731707317073
1595000.0,"Barnet Gate Lane, Arkley",Detached,5.0,4.0,228.0,51.6403574,-0.2393841,Barnet,6995.61403508772
1595000.0,"Greenway, Totteridge",Detached,4.0,2.0,233.0,51.628685,-0.1887793,Barnet,6845.49356223176
1500000.0,"Princes Avenue, Finchley Central, London, N3",Semi-Detached,5.0,2.0,202.0,51.582494,-0.2071367,Barnet,7425.742574257426
1500000.0,"North End Road, Hampstead, NW11",Semi-Detached,5.0,3.0,227.0,51.571354,-0.1930962,Barnet,6607.929515418502
1500000.0,"THE RIDGEWAY, LONDON, NW11",Semi-Detached,4.0,1.0,171.0,51.6804646,-0.1356454,Barnet,8771.929824561403
1500000.0,"Edgwarebury Lane, Edgware",Semi-Detached,4.0,4.0,286.0,51.6248111,-0.2793992,Barnet,5244.755244755244
1500000.0,"Cavendish Avenue, Finchley, N3",Semi-Detached,5.0,2.0,199.0,51.5947871,-0.1958748,Barnet,7537.688442211055
1500000.0,"Woodside Park, Argyle Road, N12",Detached,5.0,5.0,298.0,51.6133382,-0.1857805,Barnet,5033.557046979866
1500000.0,"Oakleigh Park South, Whetstone, N20",Detached,5.0,4.0,177.0,51.6293723,-0.1658961,Barnet,8474.57627118644
1500000.0,"Laurel Way, Totteridge",Detached,4.0,3.0,218.0,51.6243735,-0.1898044,Barnet,6880.733944954129
1500000.0,"Northway, Hampstead Garden Suburb, London, NW11",Detached,3.0,2.0,169.0,51.5815245,-0.1897942,Barnet,8875.739644970414
1500000.0,"Laurel Way, Totteridge, N20",Detached,4.0,3.0,223.0,51.6243735,-0.1898044,Barnet,6726.457399103139
1500000.0,"Friern Park, London, N12",Detached,5.0,1.0,177.0,51.6135887,-0.1487956362009449,Barnet,8474.57627118644
1500000.0,"Ashley Close, Hendon, NW4",Semi-Detached,6.0,3.0,239.0,51.598046,-0.2190892,Barnet,6276.150627615063
1475000.0,"Golders Green Road, Golders Green NW11",Semi-Detached,4.0,2.0,156.0,51.5796684,-0.2092729,Barnet,9455.128205128203
1450000.0,"Upper Cavendish Avenue, Finchley, N3",Detached,4.0,1.0,145.0,51.5946764,-0.195845,Barnet,10000.0
1413000.0,"Principal Place, London EC2A 2FD, EC2A",Apartment,2.0,2.0,72.0,51.52198,-0.079624220383766,Barnet,19625.0
1400000.0,"Broughton Avenue, Finchley, N3",Detached,4.0,3.0,174.0,51.5919298,-0.2103195,Barnet,8045.977011494253
1399000.0,"Principal Place, London EC2A 2FD, EC2A",Apartment,2.0,2.0,83.0,51.52198,-0.079624220383766,Barnet,16855.421686746988
1250000.0,"Elmhurst Avenue, East Finchley, N2",House,4.0,2.0,170.0,51.591497,-0.1722889,Barnet,7352.941176470588
1300000.0,"Boulevard Drive, London, NW9",Flat,3.0,3.0,157.0,51.5958843,-0.2412247,Barnet,8280.254777070064
1300000.0,"Greenbank Crescent, Hendon, London, NW4",House,4.0,2.0,154.0,51.5887322,-0.2080425,Barnet,8441.558441558442
1300000.0,"Princess Park Manor, Friern Barnet, London, N11",Flat,4.0,3.0,224.0,51.61313495,-0.1475090223355859,Barnet,5803.571428571428
1300000.0,"Sneath Avenue, Golders Green, London, NW11",Semi-Detached,6.0,3.0,183.0,51.5778021,-0.2025444,Barnet,7103.825136612022
1300000.0,"Edgwarebury Lane, Edgware",Detached,5.0,2.0,218.0,51.6248111,-0.2793992,Barnet,5963.302752293578
1275000.0,"Hadley Highstone, Barnet",End of Terrace,4.0,2.0,205.0,51.6635699,-0.1991624,Barnet,6219.512195121952
1250000.0,"Elmhurst Avenue, East Finchley, N2",House,4.0,2.0,170.0,51.591497,-0.1722889,Barnet,7352.941176470588
1250000.0,"Nether Street, North Finchley, London, N12",Detached,5.0,2.0,249.0,51.6141893,-0.1817356,Barnet,5020.080321285141
1250000.0,"North Finchley, London, N12",Semi-Detached,6.0,3.0,210.0,51.6124905,-0.1756922,Barnet,5952.380952380952
1250000.0,"Dorchester Gardens, London, NW11",Semi-Detached,4.0,1.0,200.0,51.588948,-0.1932858,Barnet,6250.0
1250000.0,"Chatsworth Avenue, Hendon, London, NW4",Semi-Detached,4.0,2.0,170.0,51.5973767,-0.223695,Barnet,7352.941176470588
